chatterName,timestamp,messageType,content,customerId,conversationId
Sarah Johnson,2024-01-01 09:15:30,sent,Hey babe! How are you doing today? 😘,CUST001,CONV001
Sarah Johnson,2024-01-01 09:16:45,received,Hi! I'm good, thanks for asking! How about you?,CUST001,CONV001
Sarah Johnson,2024-01-01 09:17:20,sent,I'm doing great! Just wanted to check in and see if you'd like to see something special today 💕,CUST001,CONV001
Sarah Johnson,2024-01-01 09:18:10,received,Oh really? What kind of special content do you have?,CUST001,CONV001
Sarah Johnson,2024-01-01 09:19:05,sent,I just filmed a new video that I think you'd absolutely love! It's $25 and includes some of my best work yet 🔥,CUST001,CONV001
Mike Chen,2024-01-01 10:30:15,sent,Good morning! Hope you're having a wonderful day,CUST002,CONV002
Mike Chen,2024-01-01 10:31:22,received,Morning! Thanks, you too!,CUST002,CONV002
Mike Chen,2024-01-01 10:32:45,sent,I have some exclusive content that just went live. Would you like to see a preview?,CUST002,CONV002
Mike Chen,2024-01-01 10:33:30,received,Sure, I'd love to see what you have!,CUST002,CONV002
Mike Chen,2024-01-01 10:34:20,sent,Perfect! It's a 15-minute video with custom requests. Only $30 for this exclusive content,CUST002,CONV002
Emma Davis,2024-01-01 11:45:10,sent,Hey gorgeous! I missed you today 💋,CUST003,CONV003
Emma Davis,2024-01-01 11:46:25,received,Hi Emma! I missed you too! What's new?,CUST003,CONV003
Emma Davis,2024-01-01 11:47:15,sent,I just created something amazing that I know you'll love! It's my most requested content 😈,CUST003,CONV003
Emma Davis,2024-01-01 11:48:05,received,Oh wow! Tell me more about it!,CUST003,CONV003
Emma Davis,2024-01-01 11:49:30,sent,It's a 20-minute solo session with your name mentioned throughout. Special price of $40 just for you! 💕,CUST003,CONV003
Alex Rodriguez,2024-01-01 14:20:35,sent,Hey there! How's your day going?,CUST004,CONV004
Alex Rodriguez,2024-01-01 14:21:50,received,It's going well! How about yours?,CUST004,CONV004
Alex Rodriguez,2024-01-01 14:22:40,sent,Great! I wanted to share something special with you today. Are you interested in some exclusive content?,CUST004,CONV004
Alex Rodriguez,2024-01-01 14:23:25,received,What kind of content are you thinking?,CUST004,CONV004
Alex Rodriguez,2024-01-01 14:24:15,sent,I have a new photo set that's very intimate and personal. It's $20 and I think you'll really enjoy it,CUST004,CONV004
